"""MTU (CET/CEST)"",""Area"",""Sequence"",""Day-ahead Price (EUR/MWh)"",""Intraday Period (CET/CEST)"",""Intraday Price (EUR/MWh)"""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""32.03"","""","""""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""32.29"","""","""""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""36.70"","""","""""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""41.72"","""","""""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""49.18"","""","""""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""58.75"","""","""""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""65.67"","""","""""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""66.11"","""","""""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""68.98"","""","""""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""73.54"","""","""""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""78.16"","""","""""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""78.87"","""","""""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""79.24"","""","""""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""79.96"","""","""""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""81.46"","""","""""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""80.92"","""","""""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""74.95"","""","""""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""63.18"","""","""""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""57.11"","""","""""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""48.04"","""","""""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""45.43"","""","""""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""42.50"","""","""""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""40.80"","""","""""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""39.21"","""","""""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""37.36"","""","""""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""36.17"","""","""""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""38.21"","""","""""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""42.58"","""","""""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""49.44"","""","""""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""53.53"","""","""""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""63.48"","""","""""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""64.99"","""","""""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""60.19"","""","""""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""59.96"","""","""""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""59.80"","""","""""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""58.86"","""","""""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""64.99"","""","""""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""68.83"","""","""""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""73.59"","""","""""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""82.28"","""","""""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""82.97"","""","""""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""79.03"","""","""""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""73.23"","""","""""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""67.41"","""","""""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""65.00"","""","""""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""58.12"","""","""""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""58.71"","""","""""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""53.60"","""","""""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""54.44"","""","""""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""55.18"","""","""""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""58.25"","""","""""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""59.15"","""","""""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""72.65"","""","""""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""85.02"","""","""""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""91.47"","""","""""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""94.20"","""","""""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""91.98"","""","""""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""90.40"","""","""""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""86.69"","""","""""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""85.96"","""","""""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""92.11"","""","""""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""98.62"","""","""""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""105.73"","""","""""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""133.23"","""","""""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""144.65"","""","""""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""121.37"","""","""""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""100.58"","""","""""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""97.11"","""","""""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""94.28"","""","""""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""88.83"","""","""""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""88.83"","""","""""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""83.09"","""","""""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""80.00"","""","""""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""80.17"","""","""""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""82.49"","""","""""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""88.14"","""","""""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""109.79"","""","""""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""165.01"","""","""""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""199.27"","""","""""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""238.31"","""","""""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""255.86"","""","""""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""211.11"","""","""""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""203.28"","""","""""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""196.98"","""","""""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""197.86"","""","""""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""299.94"","""","""""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""449.64"","""","""""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""526.25"","""","""""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""349.95"","""","""""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""181.91"","""","""""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""149.60"","""","""""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""112.82"","""","""""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""100.10"","""","""""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""92.87"","""","""""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""84.88"","""","""""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""83.20"","""","""""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""82.03"","""","""""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""82.18"","""","""""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""82.53"","""","""""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""84.13"","""","""""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""84.48"","""","""""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""87.43"","""","""""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""90.87"","""","""""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""94.98"","""","""""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""100.41"","""","""""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""103.65"","""","""""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""102.33"","""","""""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""97.75"","""","""""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""95.51"","""","""""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""98.50"","""","""""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""110.00"","""","""""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""118.27"","""","""""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""106.94"","""","""""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""102.27"","""","""""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""94.98"","""","""""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""90.63"","""","""""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""89.34"","""","""""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""82.80"","""","""""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""86.15"","""","""""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""82.46"","""","""""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""79.22"","""","""""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""77.53"","""","""""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""76.89"","""","""""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""77.42"","""","""""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""78.45"","""","""""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""80.37"","""","""""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""84.21"","""","""""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""87.57"","""","""""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""89.75"","""","""""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""83.63"","""","""""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""76.05"","""","""""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""68.00"","""","""""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""64.85"","""","""""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""63.75"","""","""""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""60.26"","""","""""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""60.24"","""","""""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""60.19"","""","""""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""57.21"","""","""""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""55.19"","""","""""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""59.83"","""","""""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""58.35"","""","""""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""58.50"","""","""""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""54.06"","""","""""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""54.26"","""","""""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""54.72"","""","""""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""54.99"","""","""""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""56.11"","""","""""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""58.13"","""","""""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""55.01"","""","""""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""63.68"","""","""""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""66.20"","""","""""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""65.09"","""","""""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""59.66"","""","""""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""55.71"","""","""""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""54.59"","""","""""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""52.80"","""","""""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""52.12"","""","""""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""50.55"","""","""""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""50.52"","""","""""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""49.20"","""","""""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""47.14"","""","""""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""47.01"","""","""""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""46.76"","""","""""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""47.87"","""","""""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""48.23"","""","""""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""47.65"","""","""""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""27.71"","""","""""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""26.73"","""","""""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""26.33"","""","""""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""26.27"","""","""""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""26.88"","""","""""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""27.95"","""","""""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""28.26"","""","""""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""43.11"","""","""""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""47.72"","""","""""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""47.96"","""","""""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""48.93"","""","""""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""48.93"","""","""""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""50.28"","""","""""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""50.52"","""","""""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""50.53"","""","""""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""50.97"","""","""""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""51.72"","""","""""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""49.85"","""","""""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""49.83"","""","""""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""48.99"","""","""""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""48.94"","""","""""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""47.00"","""","""""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""48.83"","""","""""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""45.35"","""","""""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""50.99"","""","""""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""49.50"","""","""""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""47.41"","""","""""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""44.97"","""","""""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""41.97"","""","""""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""40.01"","""","""""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""41.92"","""","""""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""46.51"","""","""""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""49.35"","""","""""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""51.37"","""","""""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""51.35"","""","""""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""50.49"","""","""""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""50.57"","""","""""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""50.38"","""","""""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""50.08"","""","""""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""49.96"","""","""""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""50.29"","""","""""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""49.17"","""","""""
